,step,idx,x,y,vx,vy,ax,ay,TTC,laneid,attribute,veh_type
0,229024,15,-131.49366760253906,-59.38318634033203,-4.838063318857166e-07,2.3348656341681817e-08,2.329938524781028e-06,4.895684924122179e-07,-212663811.01013756,-1,5,3
1,229024,0,-245.39364624023438,-55.88318634033203,-5.002274860999023e-07,-3.500961298641414e-08,2.4617015697003808e-06,-7.336018370551756e-08,-51687768.69769799,-2,1,2
2,229024,1,-3.4590065479278564,20.273977279663086,-5.792598756215739e-08,-1.2505560675890592e-07,-7.208060992525134e-07,-1.334429953203653e-06,-286751715.22733325,-1,1,1
3,229024,2,5.306290626525879,-52.38318634033203,-4.998905183128954e-07,-2.3299500995221933e-08,2.456496986269485e-06,1.3193677261824632e-08,107177983562.48213,-3,1,2
4,229024,3,-216.29351806640625,-52.38344192504883,-5.2651063953135235e-08,3.9536548257501636e-08,-1.6527667412447045e-07,-3.98443035010132e-06,-42047341.036240295,-3,1,1
5,229024,4,-245.79364013671875,-59.38318634033203,-4.996410325475154e-07,-3.541032356224605e-08,2.457907157804584e-06,-8.744098778379339e-08,99999.0,-1,1,2
6,229024,5,-189.89398193359375,-52.38336181640625,5.752016249971348e-07,-6.216683345883212e-08,-1.3920217497798149e-05,1.273107386623451e-06,18458635.72089838,-3,1,1
7,229024,6,-248.192138671875,-48.881839752197266,-2.7127603630106023e-07,-1.3887964200876013e-07,-1.2610275916813407e-06,-2.649392399689532e-06,99999.0,-4,1,1
8,229024,7,-174.39215087890625,-52.38184356689453,-2.646129360073246e-07,1.4765386424642202e-07,-1.418393139829277e-06,5.906431965740921e-07,99999.0,-3,1,1
9,229024,8,-103.19353485107422,-55.88347625732422,-4.727207958410418e-09,-2.242354524284451e-09,4.198846852432325e-07,-2.2421822905016597e-06,99999.0,-2,2,1
10,229024,9,-84.39215850830078,-59.38179397583008,-2.6232279992655094e-07,1.484400229401217e-07,-1.4062441096029943e-06,5.833117029396817e-07,1068769630.9305898,-1,2,1
11,229024,10,-218.4921417236328,-55.88181686401367,2.0234187658729752e-08,-5.634569788526278e-08,-1.0165582580157206e-06,-5.404434659794788e-07,99999.0,-2,2,1
12,229024,11,-247.09364318847656,-52.38318634033203,-4.844506520385039e-07,5.1519855048809404e-08,2.3192353637568885e-06,3.595624775698525e-07,-71329681.35979241,-3,2,2
13,229024,12,41.40630340576172,-52.38318634033203,-5.005035177418904e-07,-3.5711614998490404e-08,2.4600274173280923e-06,-1.0085437907036976e-07,99999.0,-3,2,3
14,229024,13,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-1,2,2
15,229024,14,-20.293712615966797,-59.38318634033203,-3.2229684165940853e-07,-1.943271854543127e-08,3.541706519172294e-06,8.202164281101432e-08,99999.0,-1,2,2
16,229025,15,-131.49366760253906,-59.38318634033203,-2.2109055919372622e-07,-3.318326502466107e-09,2.6271577553416137e-06,-2.666698435405124e-07,-533386447.7886736,-1,5,3
17,229025,0,-245.39364624023438,-55.88318634033203,-2.0940800027346995e-07,1.9602309109245653e-08,2.9081948014209047e-06,5.461192245093116e-07,-134178501.21357995,-2,1,2
18,229025,1,-3.4590065479278564,20.273977279663086,5.0129386863773107e-08,-5.888904297535191e-08,1.0805537158375955e-06,6.616656378355401e-07,99999.0,-1,1,1
19,229025,2,5.306290626525879,-52.38318634033203,-2.096231384030034e-07,2.280065380944052e-08,2.9026739412074676e-06,4.610015480466245e-07,-251604326473.52588,-3,1,2
20,229025,3,-216.29351806640625,-52.38344192504883,-4.96154726192799e-08,4.203764447652247e-08,3.0355913338553364e-08,2.5010962190208375e-08,-28130113.73616536,-3,1,1
21,229025,4,-245.79364013671875,-59.38318634033203,-2.094659947715627e-07,2.0581296666932758e-08,2.9017501219641417e-06,5.599162022917881e-07,99999.0,-1,1,2
22,229025,5,-189.89398193359375,-52.38336181640625,8.888640650184243e-07,-5.7455299184994146e-08,3.136624400212895e-06,4.7115342738379695e-08,15740395.50669345,-3,1,1
23,229025,6,-248.192138671875,-48.881839752197266,-4.6947732812441245e-08,-9.538436707146047e-09,2.2432830064644804e-06,1.2934119695273694e-06,99999.0,-4,1,1
24,229025,7,-174.39215087890625,-52.38184356689453,-9.597974326425174e-08,-3.847583585070424e-08,1.6863318705873098e-06,-1.8612969370224164e-06,99999.0,-3,1,1
25,229025,8,-103.19353485107422,-55.88347625732422,-9.923634358699474e-09,-3.440578488778101e-09,-5.196426400289056e-08,-1.1982239200847289e-08,99999.0,-2,2,1
26,229025,9,-84.39215850830078,-59.38179397583008,-1.3278398114380252e-07,-1.947878445207607e-07,1.2953881878274842e-06,-3.4322786177654052e-06,-455102218.45922744,-1,2,1
27,229025,10,-218.4921417236328,-55.88181686401367,-8.917591109991463e-09,1.3221029604437717e-08,-2.9151777880542795e-07,6.956672677915776e-07,99999.0,-2,2,1
28,229025,11,-247.09364318847656,-52.38318634033203,-2.2197707494342467e-07,-1.8445643901188191e-09,2.6247357709507924e-06,-5.336441972758621e-07,-178694828.8604091,-3,2,2
29,229025,12,41.40630340576172,-52.38318634033203,-2.0936201394761156e-07,1.820278860975577e-08,2.911415094786207e-06,5.391440254243207e-07,99999.0,-3,2,3
30,229025,13,-25.852718353271484,25.52064323425293,0.0,0.0,0.0,0.0,-369534111.1697418,-1,2,2
31,229025,14,-20.293712615966797,-59.38318634033203,8.060057510306251e-09,5.262658930860198e-08,3.3035689739335794e-06,7.205931069620419e-07,99999.0,-1,2,2
32,229026,15,-131.44143676757812,-59.380393981933594,1.2554588317871094,0.0772368460893631,12.554590225219727,0.7723684310913086,625.3757008399035,-1,5,3
33,229026,0,-245.34144592285156,-55.8859748840332,1.255440592765808,-0.07722479850053787,12.554408073425293,-0.7722482085227966,363.2158044533735,-2,1,2
34,229026,1,-3.42230486869812,20.265422821044922,0.8505184054374695,-0.19799159467220306,8.505183219909668,-1.9799153804779053,99999.0,-1,1,1
35,229026,2,5.358503818511963,-52.3859748840332,1.255440592765808,-0.07722483575344086,12.554408073425293,-0.7722485661506653,-2.9612184598216704e+17,-3,1,2
36,229026,3,-216.25595092773438,-52.386024475097656,0.8704518675804138,-0.07495687901973724,8.704519271850586,-0.7495692372322083,-2863.2924930826716,-3,1,1
37,229026,4,-245.74143981933594,-59.3859748840332,1.255440592765808,-0.07722476124763489,12.554408073425293,-0.772247850894928,99999.0,-1,1,2
38,229026,5,-189.85671997070312,-52.382747650146484,0.8796717524528503,0.01554577425122261,8.796709060668945,0.15545831620693207,-51.624682539792744,-3,1,1
39,229026,6,-248.14463806152344,-48.879150390625,1.1802171468734741,0.09195137023925781,11.80217170715332,0.9195137619972229,99999.0,-4,1,1
40,229026,7,-174.3446502685547,-52.379188537597656,1.1801496744155884,0.0919482558965683,11.801498413085938,0.919482946395874,99999.0,-3,1,1
41,229026,8,-103.1559829711914,-55.88089370727539,0.8703725337982178,0.07500400394201279,8.703725814819336,0.7500400543212891,99999.0,-2,2,1
42,229026,9,-84.34469604492188,-59.3791389465332,1.1801493167877197,0.09194821119308472,11.801494598388672,0.91948401927948,-852.2624605358257,-1,2,1
43,229026,10,-218.44464111328125,-55.88436508178711,1.1813887357711792,-0.0936729907989502,11.813887596130371,-0.9367300271987915,99999.0,-2,2,1
44,229026,11,-247.04144287109375,-52.380393981933594,1.2554587125778198,0.07723679393529892,12.55458927154541,0.7723679542541504,79.9608802319369,-3,2,2
45,229026,12,41.458518981933594,-52.3859748840332,1.255440592765808,-0.07722486555576324,12.554408073425293,-0.7722488045692444,99999.0,-3,2,3
46,229026,13,-25.852718353271484,25.52064323425293,0.0,0.0,0.0,0.0,-26.381430560055925,-1,2,2
47,229026,14,-20.24150276184082,-59.3859748840332,1.2553646564483643,-0.07721997797489166,12.553646087646484,-0.7722002863883972,99999.0,-1,2,2
48,229027,15,-131.22344970703125,-59.385555267333984,2.8405675888061523,-0.1526145488023758,15.85108757019043,-2.298513889312744,209.34375178912552,-1,5,3
49,229027,0,-245.12399291992188,-55.88084030151367,2.8216466903686523,0.15175580978393555,15.662060737609863,2.2898058891296387,127.58205718748027,-2,1,2
50,229027,1,-3.276897430419922,20.22262954711914,1.8657082319259644,-0.6079708337783813,10.151899337768555,-4.09979248046875,99999.0,-1,1,1
