,step,idx,x,y,vx,vy,ax,ay,TTC,laneid,attribute,veh_type
0,160821,15,1415.7301025390625,-271.115478515625,20.30372428894043,-4.19705057144165,-1.5808868408203125,0.9326934814453125,99999.0,-1,5,3
1,160821,0,-222.6644744873047,-55.87934875488281,13.29696273803711,-0.005235997494310141,2.870664596557617,0.0074767787009477615,99999.0,-2,1,1
2,160821,1,1149.1903076171875,-161.11831665039062,27.56900405883789,-12.941006660461426,1.8498611450195312,0.7258796691894531,99999.0,-3,1,2
3,160821,2,1850.5604248046875,-284.3180236816406,27.05376434326172,0.6833000779151917,1.0599899291992188,-0.9173852205276489,-21.222886520521065,-2,1,1
4,160821,3,0.0,0.0,0.0,0.0,0.0,0.0,790239.2049349833,-1,1,3
5,160821,4,1912.227294921875,-283.3542785644531,29.959442138671875,-0.0007898227777332067,1.3671302795410156,0.003005022881552577,99999.0,-2,1,2
6,160821,5,78.52108001708984,1.067576289176941,-0.00010955120524158701,-2.174514338548761e-05,0.00029015797190368176,-0.0004044952802360058,99999.0,-1,1,3
7,160821,6,1809.5072021484375,-284.5944519042969,25.057355880737305,-3.3945631980895996,0.8475112915039062,-1.2704110145568848,-20.563538688039486,-2,1,1
8,160821,7,1886.56201171875,-286.8551025390625,27.70207977294922,0.0005499778781086206,1.7212104797363281,-0.0007927976548671722,99999.0,-1,1,1
9,160821,8,1600.935302734375,-279.84075927734375,24.31527328491211,-0.14621834456920624,1.341094970703125,-3.552739381790161,99999.0,-3,2,2
10,160821,9,45.637996673583984,-59.38323974609375,22.32778549194336,-0.00021863442088942975,1.9500541687011719,0.00012802847777493298,99999.0,-1,2,2
11,160821,10,1250.1136474609375,-212.29592895507812,27.673620223999023,-13.059868812561035,0.8990478515625,-0.2853107452392578,99999.0,-2,2,3
12,160821,11,1850.68505859375,-279.8540344238281,24.081628799438477,-0.0006635934114456177,1.0078239440917969,-0.0002566713374108076,99999.0,-3,2,2
13,160821,12,1778.8404541015625,-276.3545227050781,25.126564025878906,0.0007936157053336501,1.6199874877929688,-0.002095878589898348,99999.0,-4,2,2
14,160821,13,1789.6907958984375,-278.91973876953125,27.542476654052734,1.100773572921753,1.0182762145996094,-6.229037284851074,17.62407873105314,-3,2,1
15,160821,14,1265.5477294921875,-211.7637481689453,24.563426971435547,-11.24267292022705,1.4627265930175781,-0.09429931640625,99999.0,-4,2,3
16,160822,15,1417.74072265625,-271.52935791015625,20.014629364013672,-4.077347755432129,-2.890949249267578,1.1970281600952148,99999.0,-1,5,3
17,160822,0,-221.32041931152344,-55.87986755371094,13.558189392089844,-0.004558830056339502,2.6122665405273438,0.006771674379706383,99999.0,-2,1,1
18,160822,1,1151.9532470703125,-162.41732788085938,27.69815444946289,-12.993025779724121,1.29150390625,-0.5201911926269531,99999.0,-3,1,2
19,160822,2,1853.2718505859375,-284.25311279296875,27.160186767578125,0.6103686690330505,1.0642242431640625,-0.7293140888214111,-21.08927023747614,-2,1,1
20,160822,3,-268.2937316894531,-48.8834114074707,0.0,0.0,0.0,0.0,99999.0,-4,1,3
21,160822,4,1915.230712890625,-283.3542785644531,30.098119735717773,-0.0005176822887733579,1.3867759704589844,0.002721404889598489,99999.0,-2,1,2
22,160822,5,78.5211181640625,1.0675705671310425,-4.3966621888102964e-05,8.065075235208496e-06,0.0006558457971550524,0.00029810218256898224,99999.0,-1,1,3
23,160822,6,1812.015380859375,-284.9118347167969,25.06365203857422,-2.9389431476593018,0.06296157836914062,4.5562005043029785,-19.67840988074837,-2,1,1
24,160822,7,1889.3416748046875,-286.8551025390625,27.873703002929688,0.0004884753725491464,1.7162322998046875,-0.0006150250555947423,99999.0,-1,1,1
25,160822,8,1603.375244140625,-279.8460998535156,24.47188377380371,-0.07032963633537292,1.5661048889160156,0.7588870525360107,99999.0,-3,2,2
26,160822,9,47.88131332397461,-59.38323974609375,22.51938819885254,-0.00021280032524373382,1.9160270690917969,5.834095645695925e-05,99999.0,-1,2,2
27,160822,10,1252.8824462890625,-213.60218811035156,27.663021087646484,-13.038997650146484,-0.10599136352539062,0.2087116241455078,99999.0,-2,2,3
28,160822,11,1853.1011962890625,-279.8540344238281,24.215909957885742,-0.0006875814287923276,1.3428115844726562,-0.00023988017346709967,99999.0,-3,2,2
29,160822,12,1781.35693359375,-276.3545227050781,25.140836715698242,0.0007964327814988792,0.14272689819335938,2.817076165229082e-05,99999.0,-4,2,2
30,160822,13,1792.4498291015625,-278.8387451171875,27.63226318359375,0.5047688484191895,0.8978652954101562,-5.960047245025635,17.75324776833695,-3,2,1
31,160822,14,1268.013427734375,-212.8865509033203,24.74170684814453,-11.19890308380127,1.7827987670898438,0.4376983642578125,99999.0,-4,2,3
32,160823,15,1419.7384033203125,-271.9351806640625,19.970624923706055,-4.027825355529785,-0.4400444030761719,0.4952239990234375,99999.0,-1,5,3
33,160823,0,-219.9515838623047,-55.88032531738281,13.795802116394043,-0.0039850217290222645,2.376127243041992,0.0057380832731723785,99999.0,-2,1,1
