,step,idx,x,y,vx,vy,ax,ay,TTC,laneid,attribute,veh_type
0,286489,15,865.9981079101562,-67.93834686279297,19.051416397094727,-3.272235631942749,1.1716842651367188,-1.0298395156860352,-9.74054037482422,-2,5,2
1,286489,0,1179.6204833984375,-179.2122802734375,29.79041862487793,-13.905640602111816,1.0692596435546875,-0.6825160980224609,18.656550916062812,-2,1,2
2,286489,1,153.9105682373047,-16.59362030029297,19.730283737182617,-4.6232686042785645,-0.3314399719238281,0.09473800659179688,99999.0,-1,1,3
3,286489,2,-111.68994903564453,-48.88339614868164,24.312711715698242,0.00021123826445546,-0.4715156555175781,-6.498026777990162e-05,99999.0,-4,1,3
4,286489,3,928.7719116210938,-77.09880065917969,26.493314743041992,-6.403872489929199,1.4819526672363281,-1.1970186233520508,99999.0,-3,1,1
5,286489,4,916.4125366210938,-81.2938003540039,29.052152633666992,-6.694966793060303,0.6859207153320312,-1.0904645919799805,99999.0,-1,1,1
6,286489,5,1237.49853515625,-206.36524963378906,26.662948608398438,-12.504042625427246,0.469970703125,-0.5546665191650391,99999.0,-2,1,2
7,286489,6,1182.275634765625,-184.32704162597656,25.030908584594727,-11.760259628295898,1.3752555847167969,-0.6189727783203125,99999.0,-1,1,2
8,286489,7,782.284912109375,-61.64705276489258,23.28665542602539,-1.6871449947357178,2.792949676513672,-0.654674768447876,99999.0,-1,1,1
9,286489,8,1154.92236328125,-160.01568603515625,29.256593704223633,-13.588937759399414,-0.6226730346679688,0.4918861389160156,8.86210018845469,-4,2,2
10,286489,9,1195.9697265625,-179.11993408203125,24.572975158691406,-11.61778736114502,1.5415573120117188,-0.7322597503662109,99999.0,-4,2,1
11,286489,10,948.67919921875,-85.79569244384766,27.010822296142578,-7.236982822418213,2.0842361450195312,-1.2340068817138672,99999.0,-2,2,1
12,286489,11,1181.099609375,-176.05972290039062,26.63751220703125,-12.567370414733887,-0.07432937622070312,0.1129150390625,-28.117814189339352,-3,2,2
13,286489,12,1257.100341796875,-211.7188262939453,29.390424728393555,-13.731660842895508,2.1892547607421875,-0.05734443664550781,99999.0,-3,2,1
14,286489,13,1088.252685546875,-132.08230590820312,24.893383026123047,-11.474002838134766,0.6091499328613281,-1.1659622192382812,99999.0,-3,2,1
15,286489,14,52.70613479614258,-55.88319778442383,0.00015398023242596537,8.586323383497074e-05,-0.00515329372137785,-0.00421587098389864,99999.0,-2,2,2
16,286490,15,867.9119262695312,-68.26632690429688,19.200220108032227,-3.299055814743042,1.488037109375,-0.2682018280029297,-10.089196684026804,-2,5,2
17,286490,0,1182.60546875,-180.60633850097656,29.89671516418457,-13.974555015563965,1.0629653930664062,-0.6891441345214844,18.440536736657123,-2,1,2
18,286490,1,155.88137817382812,-17.055322647094727,19.6972713470459,-4.613283157348633,-0.3301239013671875,0.0998544692993164,99999.0,-1,1,3
19,286490,2,-109.26161193847656,-48.88339614868164,24.265399932861328,0.00020076282089576125,-0.4731178283691406,-0.0001047544355969876,99999.0,-4,1,3
20,286490,3,931.4298706054688,-77.74394989013672,26.642606735229492,-6.5198869705200195,1.492919921875,-1.1601448059082031,99999.0,-3,1,1
21,286490,4,919.3219604492188,-81.96862030029297,29.12236213684082,-6.803645610809326,0.7020950317382812,-1.0867881774902344,99999.0,-1,1,1
22,286490,5,1240.1705322265625,-207.61805725097656,26.755876541137695,-12.551289558410645,0.9292793273925781,-0.4724693298339844,99999.0,-2,1,2
23,286490,6,1184.7862548828125,-185.5065155029297,25.16820526123047,-11.82242202758789,1.3729667663574219,-0.6216239929199219,99999.0,-1,1,2
24,286490,7,784.6298217773438,-61.81752395629883,23.575021743774414,-1.7326105833053589,2.8836631774902344,-0.45465588569641113,99999.0,-1,1,1
