,step,idx,x,y,vx,vy,ax,ay,TTC,laneid,attribute,veh_type
0,85139,15,256.3905029296875,-59.45548629760742,22.760534286499023,-0.013853960670530796,-0.3829765319824219,0.0005868356674909592,99999.0,-1,5,2
1,85139,0,203.29989624023438,-27.825319290161133,26.302371978759766,-5.616827964782715,1.07421875,0.3518199920654297,21.258018289878116,-1,1,2
2,85139,1,-89.20704650878906,-55.89957046508789,20.999996185302734,0.02603228949010372,2.0540428161621094,-0.017916299402713776,-14.976575527736765,-2,1,1
3,85139,2,251.44296264648438,-36.63810348510742,24.307918548583984,-3.7155702114105225,-4.570178985595703,1.378464698791504,99999.0,-1,1,2
4,85139,3,45.90134048461914,-59.38276672363281,23.399492263793945,-0.0009381709969602525,1.6941452026367188,0.0005657487781718373,99999.0,-1,1,2
5,85139,4,-20.74748992919922,-59.38330841064453,29.034713745117188,0.00010720930731622502,1.2907028198242188,-1.619562681298703e-05,12.45648792900542,-1,1,2
6,85139,5,221.0059356689453,-52.43791961669922,25.507308959960938,-0.016159463673830032,-12.481060028076172,0.006649140268564224,99999.0,-3,1,1
7,85139,6,-66.46305847167969,-52.420867919921875,22.323028564453125,0.05998612567782402,1.2358665466308594,-0.12010086327791214,-12.843563518979028,-3,1,1
8,85139,7,98.6493911743164,-55.883338928222656,24.16482925415039,-0.00013663498975802213,1.1751365661621094,-0.003375233616679907,99999.0,-2,1,1
9,85139,8,264.3822326660156,-55.96044158935547,28.96154022216797,-0.0178202036768198,0.498046875,0.0003365427255630493,99999.0,-2,2,1
10,85139,9,26.43787384033203,-52.38336944580078,26.361385345458984,0.00010374085832154378,1.5734291076660156,3.548440872691572e-05,99999.0,-3,2,2
11,85139,10,-8.335152626037598,-55.8030891418457,26.39988899230957,0.7354892492294312,1.2113761901855469,0.8354872465133667,99999.0,-2,2,1
12,85139,11,49.28396987915039,-48.88349533081055,28.96166229248047,-0.00019581189553719014,0.498046875,0.0009201087523251772,99999.0,-4,2,1
13,85139,12,166.687255859375,-48.90081024169922,27.136362075805664,-0.01759009063243866,1.5409660339355469,-0.04943425953388214,99999.0,-4,2,2
14,85139,13,161.44358825683594,-59.397010803222656,24.21880531311035,-0.017231110483407974,1.1732101440429688,0.0024654529988765717,65.108441188389,-1,2,1
15,85139,14,-20.70277214050293,-52.198875427246094,25.885927200317383,-0.12519915401935577,1.4684486389160156,-0.2363651990890503,-106.70044970053394,-3,2,2
16,85140,15,258.6697998046875,-59.45686721801758,22.825197219848633,-0.013931112363934517,0.6466293334960938,-0.0007715169340372086,99999.0,-1,5,2
17,85140,0,205.9356231689453,-28.38595199584961,26.403343200683594,-5.581564903259277,1.0097122192382812,0.352630615234375,16.679660043138888,-1,1,2
18,85140,1,-87.09578704833984,-55.897010803222656,21.204452514648438,0.023540504276752472,2.0445632934570312,-0.024917852133512497,-15.32227577645462,-2,1,1
19,85140,2,253.8408203125,-37.000911712646484,23.801733016967773,-3.5504820346832275,-5.061855316162109,1.6508817672729492,99999.0,-1,1,2
20,85140,3,48.250579833984375,-59.38286590576172,23.568212509155273,-0.0008555244421586394,1.6872024536132812,0.0008264655480161309,99999.0,-1,1,2
21,85140,4,-17.836912155151367,-59.38330841064453,29.16465950012207,0.00010490041313460097,1.2994575500488281,-2.308894181624055e-05,12.962565649336264,-1,1,2
