,step,idx,x,y,vx,vy,ax,ay,TTC,laneid,attribute,veh_type
0,42102,15,25.677282333374023,-59.38339614868164,24.35989761352539,0.0001990988093893975,-0.0807952880859375,-0.000510575482621789,99999.0,-1,5,3
1,42102,0,-112.00458526611328,-55.88351821899414,26.3525390625,-6.127444794401526e-05,-0.0592803955078125,0.00033316900953650475,99999.0,-2,1,1
2,42102,1,104.72821044921875,-5.069127082824707,21.37376594543457,-5.017756462097168,-0.17465591430664062,-0.4233741760253906,-26.35518752003031,-1,1,2
3,42102,2,172.2020721435547,-52.40597915649414,24.448381423950195,-0.00906596053391695,0.1242828369140625,0.21394047141075134,99999.0,-3,1,1
4,42102,3,167.78309631347656,-19.832576751708984,23.78188133239746,-5.510946750640869,0.15890121459960938,0.1295328140258789,99999.0,-1,1,1
5,42102,4,139.22103881835938,-55.8834114074707,24.339845657348633,-0.00597870210185647,-0.080718994140625,-0.028438635170459747,99999.0,-2,1,2
6,42102,5,-160.52357482910156,-52.354759216308594,18.39662742614746,0.009518400765955448,2.0581436157226562,-0.08875495940446854,-9.71903536353458,-3,1,2
7,42102,6,0.0,0.0,0.0,0.0,0.0,0.0,-4.4659915541108495,-1,1,2
8,42102,7,-109.32594299316406,-52.38343048095703,23.664396286010742,1.0126986126124393e-05,-0.24169921875,0.0028325070161372423,99999.0,-3,1,1
9,42102,8,-101.14279174804688,-59.38321304321289,20.320886611938477,-6.425947503885254e-05,-0.090484619140625,-1.5943078324198723e-05,99999.0,-1,2,1
10,42102,9,-153.6099090576172,-59.38321304321289,19.0886173248291,-7.00991295161657e-05,-0.08890151977539062,7.34275090508163e-06,-42.577633175660495,-1,2,1
11,42102,10,16.540285110473633,-48.88325881958008,20.31911849975586,4.394647112349048e-05,-0.090484619140625,-4.578650987241417e-06,99999.0,-4,2,1
12,42102,11,187.97653198242188,-59.413997650146484,24.35982322692871,-0.013952967710793018,-0.08081436157226562,0.017127981409430504,99999.0,-1,2,2
13,42102,12,-106.47050476074219,-48.88336944580078,23.924747467041016,5.228397640166804e-05,-0.08121490478515625,0.0002401181700406596,-126.04629774875522,-4,2,2
14,42102,13,140.38905334472656,-48.88360595703125,23.665878295898438,-0.019259359687566757,-0.241851806640625,-0.09920601546764374,99999.0,-4,2,1
15,42102,14,-52.829036712646484,-48.883235931396484,24.350317001342773,-0.00021256586478557438,-0.08378982543945312,-1.5834812074899673e-05,17.208114088939293,-4,2,2
16,42103,15,28.110240936279297,-59.38339614868164,24.312746047973633,0.00022257382806856185,-0.4715156555175781,0.0002347501867916435,99999.0,-1,5,3
17,42103,0,-109.37229919433594,-55.883548736572266,26.293678283691406,1.137530489359051e-05,-0.5886077880859375,0.0007264974992722273,99999.0,-2,1,1
18,42103,1,106.8634262084961,-5.5682549476623535,21.339494705200195,-4.983983993530273,-0.34271240234375,0.3377246856689453,-26.7817145830263,-1,1,2
19,42103,2,174.64181518554688,-52.40775680541992,24.37713050842285,-0.016081098467111588,-0.7125091552734375,-0.07015138119459152,99999.0,-3,1,1
20,42103,3,170.156494140625,-20.38190269470215,23.716938018798828,-5.476137638092041,-0.6494331359863281,0.34809112548828125,99999.0,-1,1,1
21,42103,4,141.6519775390625,-55.88424301147461,24.292743682861328,-0.011185076087713242,-0.4710197448730469,-0.05206374078989029,99999.0,-2,1,2
22,42103,5,-158.6726531982422,-52.35403060913086,18.60162353515625,0.0018426465103402734,2.0499610900878906,-0.07675754278898239,-10.318353881648713,-3,1,2
23,42103,6,-268.1937255859375,-52.3834114074707,0.0,0.0,0.0,0.0,99999.0,-3,1,2
24,42103,7,-106.9622802734375,-52.383460998535156,23.613117218017578,0.00027179342578165233,-0.5127906799316406,0.00261666439473629,99999.0,-3,1,1
25,42103,8,-99.1131362915039,-59.38321304321289,20.286409378051758,-8.314895967487246e-05,-0.3447723388671875,-0.00018889484636019915,99999.0,-1,2,1
26,42103,9,-151.70333862304688,-59.38321304321289,19.05666732788086,-8.758514741202816e-05,-0.3194999694824219,-0.0001748601789586246,-42.765236785738104,-1,2,1
27,42103,10,18.56977653503418,-48.88325881958008,20.284645080566406,2.411080276942812e-05,-0.34473419189453125,-0.00019835669081658125,99999.0,-4,2,1
28,42103,11,190.4095001220703,-59.41541290283203,24.31267547607422,-0.014384233392775059,-0.4714775085449219,-0.004312656819820404,99999.0,-1,2,2
29,42103,12,-104.08099365234375,-48.88336944580078,23.878732681274414,5.3206662414595485e-05,-0.4601478576660156,9.226860129274428e-06,-126.4766287106023,-4,2,2
30,42103,13,142.75286865234375,-48.885398864746094,23.614593505859375,-0.019057882949709892,-0.512847900390625,0.0020147673785686493,99999.0,-4,2,1
31,42103,14,-50.39703369140625,-48.883235931396484,24.303190231323242,-0.00021949317306280136,-0.4712677001953125,-6.927308277226985e-05,17.1621306437259,-4,2,2
32,42104,15,30.5385799407959,-59.38339614868164,24.26543426513672,0.00013530264550354332,-0.4731178283691406,-0.0008727118256501853,99999.0,-1,5,3
33,42104,0,-106.74604034423828,-55.88355255126953,26.23453712463379,-3.828382978099398e-05,-0.5914115905761719,-0.0004965913249179721,99999.0,-2,1,1
34,42104,1,108.99464416503906,-6.066922664642334,21.295568466186523,-4.991477966308594,-0.43926239013671875,-0.07493972778320312,-27.22310882831619,-1,1,2
35,42104,2,177.07484436035156,-52.408782958984375,24.30544662475586,-0.005126853007823229,-0.7168388366699219,0.10954245924949646,99999.0,-3,1,1
36,42104,3,172.5238037109375,-20.927738189697266,23.65220069885254,-5.438331604003906,-0.6473731994628906,0.37806034088134766,99999.0,-1,1,1
37,42104,4,144.0783233642578,-55.88534164428711,24.2454833984375,-0.012267231941223145,-0.47260284423828125,-0.01082155853509903,99999.0,-2,1,2
38,42104,5,-156.8021240234375,-52.354042053222656,18.758283615112305,-0.0046229795552790165,1.5666007995605469,-0.06465625762939453,-10.866461622517056,-3,1,2
39,42104,6,-268.1937255859375,-52.3834114074707,0.0,0.0,0.0,0.0,99999.0,-3,1,2
40,42104,7,-104.60372924804688,-52.38343811035156,23.561906814575195,0.0003644293174147606,-0.5121040344238281,0.0009263589163310826,99999.0,-3,1,1
41,42104,8,-97.08678436279297,-59.38321304321289,20.25194549560547,-0.0001138009101850912,-0.3446388244628906,-0.0003065195051021874,99999.0,-1,2,1
42,42104,9,-149.79983520507812,-59.38321304321289,19.02474021911621,-0.00011536559031810611,-0.3192710876464844,-0.00027780444361269474,-42.95372927640104,-1,2,1
43,42104,10,20.59593963623047,-48.88325881958008,20.25018310546875,-8.696872100699693e-06,-0.3446197509765625,-0.0003280767414253205,99999.0,-4,2,1
44,42104,11,192.8378448486328,-59.41682434082031,24.265363693237305,-0.014119635336101055,-0.4731178283691406,0.002645980566740036,99999.0,-1,2,2
45,42104,12,-101.69599151611328,-48.88336944580078,23.832582473754883,4.823337076231837e-05,-0.4615020751953125,-4.973291652277112e-05,-126.91582974006953,-4,2,2
46,42104,13,145.111572265625,-48.88758850097656,23.56337547302246,-0.024560609832406044,-0.5121803283691406,-0.05502726882696152,99999.0,-4,2,1
47,42104,14,-47.96964645385742,-48.88323211669922,24.255905151367188,-0.00023627882183063775,-0.4728507995605469,-0.00016785648767836392,17.116909633207502,-4,2,2
48,42105,15,32.96237564086914,-59.38339614868164,24.218244552612305,0.00018416528473608196,-0.4718971252441406,0.0004886264214292169,99999.0,-1,5,3
49,42105,0,-104.12577056884766,-55.883544921875,26.17556381225586,-8.807521226117387e-05,-0.5897331237792969,-0.0004979138029739261,99999.0,-2,1,1
50,42105,1,111.12194061279297,-6.5652594566345215,21.25619125366211,-4.980048179626465,-0.3937721252441406,0.11429786682128906,-27.672206303253347,-1,1,2
51,42105,2,179.50112915039062,-52.40933609008789,24.23409652709961,-0.00469652283936739,-0.7135009765625,0.004303301684558392,99999.0,-3,1,1
52,42105,3,174.8850555419922,-21.469799041748047,23.58827781677246,-5.3983259201049805,-0.6392288208007812,0.4000568389892578,99999.0,-1,1,1
53,42105,4,146.50013732910156,-55.88669204711914,24.198347091674805,-0.015118381939828396,-0.4713630676269531,-0.028511499986052513,99999.0,-2,1,2
54,42105,5,-154.92822265625,-52.35466766357422,18.728078842163086,-0.009829034097492695,-0.3020477294921875,-0.05206054449081421,-11.014082653487293,-3,1,2
55,42105,6,-268.1937255859375,-52.3834114074707,0.0,0.0,0.0,0.0,99999.0,-3,1,2
56,42105,7,-102.25031280517578,-52.38340377807617,23.51085662841797,0.0002365605323575437,-0.5105018615722656,-0.0012786878505721688,99999.0,-3,1,1
57,42105,8,-95.06376647949219,-59.38321304321289,20.217552185058594,-0.00015235522005241364,-0.34393310546875,-0.00038554309867322445,99999.0,-1,2,1
58,42105,9,-147.89939880371094,-59.38321304321289,18.99287986755371,-0.00014829459541942924,-0.318603515625,-0.0003292900510132313,-43.142668915604105,-1,2,1
59,42105,10,22.618785858154297,-48.88325881958008,20.215797424316406,-4.2943134758388624e-05,-0.3438568115234375,-0.0003424626193009317,99999.0,-4,2,1
60,42105,11,195.2616424560547,-59.41823959350586,24.21817398071289,-0.014345373027026653,-0.4718971252441406,-0.0022573769092559814,99999.0,-1,2,2
61,42105,12,-99.31541442871094,-48.88336944580078,23.78654670715332,3.729170930455439e-05,-0.460357666015625,-0.00010941661457763985,-127.35476526076013,-4,2,2
62,42105,13,147.46514892578125,-48.8901252746582,23.51231575012207,-0.0260502640157938,-0.5105972290039062,-0.014896541833877563,99999.0,-4,2,1
63,42105,14,-45.54680633544922,-48.88326644897461,24.208742141723633,-0.0002622072643134743,-0.4716300964355469,-0.00025928442482836545,17.071508173338483,-4,2,2
64,42106,15,35.381587982177734,-59.38339614868164,24.17119789123535,8.417537901550531e-05,-0.47046661376953125,-0.0009998991154134274,99999.0,-1,5,3
65,42106,0,-101.51139068603516,-55.88352966308594,26.11676788330078,-0.00010097440099343657,-0.5879592895507812,-0.000128991887322627,99999.0,-2,1,1
66,42106,1,113.24526977539062,-7.063080787658691,21.215045928955078,-4.9766998291015625,-0.4114532470703125,0.03348350524902344,-28.12900531100715,-1,1,2
67,42106,2,181.9204864501953,-52.40955352783203,24.16309356689453,-0.0010390662355348468,-0.7100296020507812,0.03657456487417221,99999.0,-3,1,1
68,42106,3,177.2401580810547,-22.007823944091797,23.525150299072266,-5.356271743774414,-0.6312751770019531,0.42054176330566406,99999.0,-1,1,1
69,42106,4,148.91734313964844,-55.88825988769531,24.151351928710938,-0.0164951179176569,-0.4699516296386719,-0.013767359778285027,99999.0,-2,1,2
70,42106,5,-153.0576934814453,-52.35576629638672,18.694854736328125,-0.013748113065958023,-0.3322410583496094,-0.03919079154729843,-11.15521373871025,-3,1,2
71,42106,6,-268.1937255859375,-52.3834114074707,0.0,0.0,0.0,0.0,99999.0,-3,1,2
72,42106,7,-99.90200805664062,-52.38340377807617,23.45995330810547,0.00011064847785746679,-0.509033203125,-0.0012591204140335321,99999.0,-3,1,1
73,42106,8,-93.04408264160156,-59.38321304321289,20.183238983154297,-0.00018840731354430318,-0.34313201904296875,-0.00036052093491889536,99999.0,-1,2,1
74,42106,9,-146.00204467773438,-59.38321304321289,18.961090087890625,-0.0001811168622225523,-0.3178977966308594,-0.00032822266803123057,-43.331841350400616,-1,2,1
75,42106,10,24.63829803466797,-48.88325881958008,20.181486129760742,-8.444778359262273e-05,-0.3431129455566406,-0.00041504649561829865,99999.0,-4,2,1
76,42106,11,197.6808319091797,-59.41965103149414,24.171127319335938,-0.014403102919459343,-0.47046661376953125,-0.0005772989243268967,99999.0,-1,2,2
77,42106,12,-96.93931579589844,-48.88336944580078,23.74065589904785,2.0734843928948976e-05,-0.4589080810546875,-0.0001655686501180753,-127.79706376637081,-4,2,2
78,42106,13,149.81358337402344,-48.8917121887207,23.461366653442383,0.0003766946028918028,-0.509490966796875,0.2642695903778076,99999.0,-4,2,1
79,42106,14,-43.128543853759766,-48.88328552246094,24.161720275878906,-0.0002297845931025222,-0.4702186584472656,0.00032422671210952103,17.02584017837932,-4,2,2
80,42107,15,37.80139923095703,-59.38339614868164,24.239572525024414,0.00014108329196460545,0.683746337890625,0.0005690791294910014,99999.0,-1,5,3
81,42107,0,-98.89533996582031,-55.88351058959961,26.227272033691406,-0.00010686999303288758,1.10504150390625,-5.895592039451003e-05,99999.0,-2,1,1
82,42107,1,115.37012481689453,-7.561462879180908,21.29489517211914,-4.994490623474121,0.798492431640625,-0.17790794372558594,-27.418882594294455,-1,1,2
83,42107,2,184.3435821533203,-52.410213470458984,24.313663482666016,-0.013263930566608906,1.5056991577148438,-0.12224864214658737,99999.0,-3,1,1
84,42107,3,179.59950256347656,-22.54399871826172,23.67862892150879,-5.362067222595215,1.5347862243652344,-0.05795478820800781,99999.0,-1,1,1
85,42107,4,151.33518981933594,-55.88996887207031,24.219839096069336,-0.01785361021757126,0.6848716735839844,-0.0135849229991436,99999.0,-2,1,2
86,42107,5,-151.19029235839844,-52.35722351074219,18.661664962768555,-0.016597876325249672,-0.3318977355957031,-0.02849763259291649,-10.991033300528645,-3,1,2
87,42107,6,-268.16766357421875,-52.38240432739258,-0.053328290581703186,0.019992662593722343,-0.5332828760147095,0.19992662966251373,99999.0,-3,1,2
88,42107,7,-97.55294799804688,-52.38338851928711,23.541765213012695,1.264073853235459e-05,0.8181190490722656,-0.0009800774278119206,99999.0,-3,1,1
89,42107,8,-91.02180480957031,-59.38321304321289,20.271564483642578,-0.00022205454297363758,0.8832550048828125,-0.000336472294293344,99999.0,-1,2,1
90,42107,9,-144.10171508789062,-59.38321304321289,19.053783416748047,-0.00020987640891689807,0.9269332885742188,-0.0002875954669434577,-43.58740610336017,-1,2,1
91,42107,10,26.660404205322266,-48.88325881958008,20.269821166992188,-0.00011279222962912172,0.8833503723144531,-0.00028344447491690516,99999.0,-4,2,1
92,42107,11,200.10064697265625,-59.42111587524414,24.239501953125,-0.014650832861661911,0.683746337890625,-0.0024772994220256805,99999.0,-1,2,2
93,42107,12,-94.56246185302734,-48.88336944580078,23.81064224243164,8.341346983797848e-06,0.6998634338378906,-0.00012393496581353247,-128.74581743067927,-4,2,2
94,42107,13,152.16278076171875,-48.89263916015625,23.54315185546875,-0.010292964987456799,0.8178520202636719,-0.10669659823179245,99999.0,-4,2,1
95,42107,14,-40.7097282409668,-48.88328552246094,24.22892951965332,-0.00023361820785794407,0.6720924377441406,-3.833614755421877e-05,17.016491200854855,-4,2,2
96,42108,15,40.23261642456055,-59.38339614868164,24.36893081665039,8.508137398166582e-05,1.2935829162597656,-0.0005600191652774811,99999.0,-1,5,3
97,42108,0,-96.26384735107422,-55.88348388671875,26.391881942749023,-0.00013273874355945736,1.6460990905761719,-0.00025868750526569784,99999.0,-2,1,1
98,42108,1,117.50733947753906,-8.062837600708008,21.432270050048828,-5.028347492218018,1.373748779296875,-0.33856868743896484,-26.438254395890603,-1,1,2
99,42108,2,186.78878784179688,-52.41121292114258,24.553302764892578,-0.012252990156412125,2.396392822265625,0.010109404101967812,99999.0,-3,1,1
100,42108,3,181.9811553955078,-23.082231521606445,23.919288635253906,-5.385977745056152,2.406597137451172,-0.239105224609375,99999.0,-1,1,1
101,42108,4,153.76443481445312,-55.89179229736328,24.349300384521484,-0.018667010590434074,1.2946128845214844,-0.008134003728628159,99999.0,-2,1,2
