,step,idx,x,y,vx,vy,ax,ay,TTC,laneid,attribute,veh_type
0,45486,15,265.3035583496094,-59.495506286621094,20.464214324951172,0.015091117471456528,-2.4195289611816406,0.048819854855537415,99999.0,-1,5,2
1,45486,0,200.59234619140625,-27.223819732666016,26.27896499633789,-5.630823135375977,1.754302978515625,0.16625404357910156,99999.0,-1,1,1
2,45486,1,-86.7184829711914,-59.38373565673828,23.70597267150879,0.0005983442533761263,-7.094058990478516,0.0012461486039683223,-13.153024282003294,-1,1,1
3,45486,2,-128.76414489746094,-52.38351821899414,24.51646614074707,6.0898441006429493e-05,-5.812854766845703,0.001803513732738793,65.69342212149905,-3,1,3
4,45486,3,-31.897523880004883,-52.38345718383789,23.041940689086914,0.00017643289174884558,1.7082786560058594,0.00021828192984685302,99999.0,-3,1,2
5,45486,4,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-1,1,2
6,45486,5,228.8640899658203,-55.96376037597656,25.00141143798828,0.059025172144174576,1.6304588317871094,-0.37007126212120056,99999.0,-2,1,2
7,45486,6,-66.46098327636719,-55.88337326049805,23.079181671142578,0.00024165365903172642,1.2140083312988281,0.00013418612070381641,-73.33538771420015,-2,1,1
8,45486,7,290.70953369140625,-52.47675323486328,31.51470375061035,-0.019053002819418907,1.5334510803222656,-0.0009807571768760681,99999.0,-3,1,1
9,45486,8,-15.184977531433105,-59.383358001708984,29.14453125,0.0001559230440761894,1.45538330078125,-2.081214915961027e-06,19.355568299703098,-1,2,3
10,45486,9,-9.90450382232666,-48.88349151611328,30.42649269104004,-0.0001246603933395818,1.1620712280273438,0.0004691419599112123,99999.0,-4,2,3
11,45486,10,160.9271697998047,-52.69981002807617,24.98769760131836,0.7687230706214905,0.4608154296875,-2.1684021949768066,-56.69724930041944,-3,2,3
12,45486,11,17.149578094482422,-55.883235931396484,24.21929359436035,-6.41711667412892e-05,1.1732101440429688,-3.9586739148944616e-05,99999.0,-2,2,1
