,step,idx,x,y,vx,vy,ax,ay,TTC,laneid,attribute,veh_type
0,45858,15,1029.7615966796875,-115.6201171875,19.869972229003906,-7.479165554046631,-0.8183670043945312,-0.1818084716796875,99999.0,-1,5,2
1,45858,0,319.64007568359375,-44.02399826049805,27.764915466308594,-1.7371926307678223,1.09771728515625,0.9749436378479004,99999.0,-1,1,3
2,45858,1,816.056396484375,-57.68968200683594,24.536874771118164,-2.5528697967529297,1.4481544494628906,-3.125619888305664,99999.0,-3,1,1
3,45858,2,772.3846435546875,-57.586151123046875,24.105060577392578,-1.4821593761444092,1.7071342468261719,-0.9641563892364502,99999.0,-2,1,3
4,45858,3,877.7949829101562,-70.0170669555664,24.736557006835938,-4.45107889175415,0.048675537109375,-0.5393838882446289,99999.0,-2,1,2
5,45858,4,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-1,1,3
6,45858,5,1302.892822265625,-235.01075744628906,28.45661735534668,-10.799025535583496,1.7494392395019531,0.7083892822265625,99999.0,-2,1,2
7,45858,6,1069.1732177734375,-123.81928253173828,29.884124755859375,-12.776508331298828,0.3881072998046875,-1.1278152465820312,99999.0,-3,1,1
8,45858,7,1461.723388671875,-272.373291015625,31.757221221923828,-4.613518238067627,-7.158088684082031,2.5291919708251953,99999.0,-3,1,1
9,45858,8,1086.330322265625,-135.01870727539062,27.42436981201172,-12.497748374938965,-4.704322814941406,0.8698844909667969,99999.0,-2,2,3
10,45858,9,1087.189697265625,-127.93175506591797,26.803367614746094,-12.154053688049316,0.8199691772460938,-1.6762161254882812,99999.0,-4,2,3
11,45858,10,1304.27587890625,-231.81378173828125,31.219390869140625,-11.811882019042969,0.577392578125,1.5552616119384766,99999.0,-3,2,3
12,45858,11,926.6460571289062,-73.21858215332031,24.38918685913086,-5.84489107131958,1.2718391418457031,0.3656339645385742,99999.0,-4,2,1
13,45858,12,1204.8262939453125,-191.06480407714844,29.145164489746094,-13.651256561279297,-0.6825447082519531,0.3688240051269531,99999.0,-2,2,3
14,45858,13,418.8780822753906,-49.05410385131836,30.09882926940918,-0.0181033443659544,1.3867378234863281,-0.0009911507368087769,99999.0,-4,2,3
15,45858,14,1186.94580078125,-174.943359375,24.725576400756836,-11.565016746520996,1.3157463073730469,-0.7047080993652344,99999.0,-4,2,2
16,45859,15,1031.734619140625,-116.36483001708984,19.663843154907227,-7.457193851470947,-2.061290740966797,0.21971702575683594,99999.0,-1,5,2
17,45859,0,322.41851806640625,-44.19300079345703,27.75665283203125,-1.6345757246017456,-0.0826263427734375,1.0261690616607666,99999.0,-1,1,3
18,45859,1,818.5211791992188,-57.93678665161133,24.728803634643555,-2.51275897026062,1.9192886352539062,0.4011082649230957,99999.0,-3,1,1
19,45859,2,774.804931640625,-57.737953186035156,24.28061866760254,-1.5849910974502563,1.7555809020996094,-1.0283172130584717,99999.0,-2,1,3
20,45859,3,880.2454223632812,-70.46050262451172,24.26087188720703,-4.4266676902771,-4.7568511962890625,0.2441120147705078,99999.0,-2,1,2
