,step,idx,x,y,vx,vy,ax,ay,TTC,laneid,roadid,roadS,attribute,veh_type,instanceReward,PersonalReward,CooperationReward,PersonalPolicyReward
0,641,15,316.7676696777344,-53.97707748413086,24.056110382080078,-3.11252498626709,1.9164848327636719,-0.007784366607666016,99999.0,-3,16,238.4729385375976,5,3,,0.0,0,0.0
1,641,0,157.36505126953125,-55.89086151123047,31.870656967163086,-0.02620392106473446,0.8869743347167969,-0.02452125772833824,99999.0,-2,16,79.85073089599612,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
2,641,1,179.84629821777344,-52.4095458984375,27.29215431213379,-0.014195375144481659,1.7457771301269531,0.02738848328590393,5.7432194722987155,-3,16,101.8646404743194,0,3,-0.21394805563066244,-0.21394805563066244,0,-0.4801151509965984
3,641,2,293.3826599121094,-55.97061538696289,25.66261863708496,-0.024624137207865715,1.8297958374023438,0.0273892842233181,99999.0,-2,16,215.24951171874994,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
4,641,3,463.1393737792969,-45.610267639160156,30.66603660583496,0.0280658807605505,-0.15590667724609375,-0.0050125084817409515,99999.0,-1,22,367.8649291992187,0,1,-1.1382500000000002,-1.1382500000000002,0,-1.1382500000000002
5,641,4,155.6652374267578,-48.89336013793945,27.994394302368164,-0.024659080430865288,2.519245147705078,-0.02333417534828186,29.84616452520279,-4,16,77.77214813232425,0,3,-0.18585332397887983,-0.18585332397887983,0,-0.18626937731430698
6,641,5,426.360107421875,-52.56233215332031,29.61039161682129,-0.01758452318608761,-10.263118743896484,0.001977980136871338,99999.0,-3,16,348.5326309204101,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
7,641,6,257.7022705078125,-59.46831512451172,19.332839965820312,-0.044236838817596436,2.1314620971679688,0.18579408526420593,99999.0,-1,16,178.93994903564447,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
8,641,7,414.3571472167969,-59.5513916015625,21.05097770690918,-0.012728299014270306,1.6143417358398438,0.0025715678930282593,99999.0,-1,16,335.7647171020507,0,3,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
9,641,8,423.0779724121094,-56.06056213378906,31.93960952758789,-0.019691580906510353,2.074871063232422,-0.002782251685857773,99999.0,-2,16,345.5737991333007,0,3,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
10,641,9,551.360595703125,-52.709739685058594,30.14056396484375,0.09124130755662918,1.5396308898925781,0.633126974105835,99999.0,-3,13,28.656799316406268,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
11,641,10,155.79019165039062,-59.3890380859375,32.07356262207031,-0.024221360683441162,0.8795356750488281,-0.03370223566889763,99999.0,-1,16,78.29608917236331,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
12,641,11,386.9926452636719,-59.53448486328125,32.04033279418945,-0.019488560035824776,0.8405876159667969,-0.0005291961133480072,2.4878278381367975,-1,16,309.4939894676208,0,1,0.013185394241757346,0.013185394241757346,0,0.013506982356757565
13,641,12,246.70692443847656,-54.14544677734375,15.662748336791992,2.4798338413238525,3.1546878814697266,-3.558931350708008,-8.353719034907634,-3,16,167.57697296142572,0,1,-0.2289178725117743,-0.2289178725117743,0,-0.03384972876342593
14,641,13,388.1872863769531,-49.072509765625,32.32387161254883,-0.018271207809448242,0.7671356201171875,0.04611477255821228,99999.0,-4,16,310.7115678787231,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
15,641,14,221.6329803466797,-48.93638610839844,25.794389724731445,-0.015627382323145866,2.653179168701172,-0.0011577457189559937,99999.0,-4,16,143.5136642456054,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
16,642,15,319.18341064453125,-54.289676666259766,24.26302719116211,-2.9616332054138184,2.0691680908203125,1.5089178085327148,99999.0,-2,16,240.90994644165033,5,3,,0.0,0,0.0
17,642,0,160.55699157714844,-55.8935546875,31.959030151367188,-0.027646195143461227,0.8837318420410156,-0.014422740787267685,99999.0,-2,16,83.05146789550784,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
18,642,1,182.57618713378906,-52.43748092651367,27.225324630737305,-0.7047926783561707,-0.6682968139648438,-6.905972957611084,5.820502584240772,-3,16,104.5588908195495,0,3,-0.17042011646664668,-0.17042011646664668,0,-0.4623014976248948
19,642,2,295.9589538574219,-55.97299575805664,25.844749450683594,-0.022412652149796486,1.8213081359863281,0.02211485058069229,14.606515727461632,-2,16,217.83485507965082,0,1,1.5488873744025335,1.5488873744025335,0,1.5488873744025335
20,642,3,466.1778869628906,-45.60755920410156,30.055429458618164,0.027361460030078888,-6.106071472167969,-0.00704420730471611,99999.0,-1,22,370.8272399902343,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
21,642,4,158.47840881347656,-48.89595031738281,28.243724822998047,-0.027068069204688072,2.493305206298828,-0.024089887738227844,30.002351499076784,-4,16,80.6100997924805,0,3,-0.18367352102604273,-0.18367352102604273,0,-0.18606756271071545
22,642,5,429.2441711425781,-52.56405258178711,28.346847534179688,-0.01748916320502758,-12.635440826416016,0.0009535998106002808,99999.0,-3,16,351.3358840942382,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
23,642,6,259.6472473144531,-59.47222900390625,19.544992446899414,-0.02908807434141636,2.1215248107910156,0.15148764848709106,99999.0,-1,16,180.90607452392572,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
24,642,7,416.4720153808594,-59.55268096923828,21.23306655883789,-0.012752316892147064,1.8208885192871094,-0.00024017877876758575,99999.0,-1,16,337.8984451293945,0,3,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
25,642,8,426.2832336425781,-56.06254577636719,32.14480972290039,-0.019973265007138252,2.052001953125,-0.0028168410062789917,99999.0,-2,16,348.7994766235351,0,3,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
26,642,9,554.3832397460938,-52.69797897338867,30.296485900878906,0.14065758883953094,1.5592193603515625,0.49416279792785645,99999.0,-3,13,31.69507026672365,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
27,642,10,159.00234985351562,-59.39157485961914,32.16117477416992,-0.026428591459989548,0.8761215209960938,-0.022072307765483856,99999.0,-1,16,81.51701354980472,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
28,642,11,390.2012939453125,-59.53643798828125,32.12405014038086,-0.01953284814953804,0.8371734619140625,-0.00044288113713264465,2.4099405668688036,-1,16,312.7109699249267,0,1,0.013434216525294824,0.013434216525294824,0,0.013731043530077938
29,642,12,248.2876434326172,-53.89543914794922,15.947382926940918,2.3634157180786133,2.846345901489258,-1.1641812324523926,99999.0,-3,16,169.1869277954101,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.7707500000000005
30,642,13,391.42523193359375,-49.07419967651367,32.43159484863281,-0.012057896703481674,1.0772323608398438,0.06213311105966568,99999.0,-4,16,313.96144485473627,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
31,642,14,224.22735595703125,-48.93795394897461,26.062519073486328,-0.01592724770307541,2.681293487548828,-0.0029986537992954254,99999.0,-4,16,146.13476181030268,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
32,643,15,321.6202392578125,-54.582332611083984,24.47756004333496,-2.685469627380371,2.1453285217285156,2.7616357803344727,99999.0,-2,16,243.36865997314447,5,3,,0.0,0,0.0
33,643,0,163.7577362060547,-55.89634323120117,32.04707336425781,-0.02813446894288063,0.88043212890625,-0.004882737994194031,99999.0,-2,16,86.26104736328128,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
34,643,1,185.27040100097656,-52.498661041259766,26.600996017456055,-0.7746655344963074,-6.2432861328125,-0.6987285614013672,6.233495753625094,-3,16,107.17547655105585,0,3,0.14392284953876183,0.14392284953876183,0,-0.18618849999828602
35,643,2,298.5442810058594,-56.001766204833984,25.779247283935547,-0.7114542722702026,-0.6550216674804688,-6.890416145324707,17.60801963529584,-2,16,220.3842391967773,0,1,1.5867299356067561,1.5867299356067561,0,1.5867299356067561
36,643,3,469.14019775390625,-45.60516357421875,29.321664810180664,0.020794469863176346,-7.337646484375,-0.06566990166902542,99999.0,-1,22,373.7430114746093,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
37,643,4,161.3163604736328,-48.898704528808594,28.490394592285156,-0.028078824281692505,2.4666976928710938,-0.010107550770044327,30.198127123221724,-4,16,83.46229553222659,0,3,-0.4594105045509067,-0.4594105045509067,0,-0.4594105045509067
38,643,5,432.04742431640625,-52.56581497192383,27.906471252441406,-0.018147582188248634,-4.4037628173828125,-0.006584189832210541,99999.0,-3,16,354.1286430358886,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
39,643,6,261.6133728027344,-59.47473907470703,19.756166458129883,-0.017750291153788567,2.1117401123046875,0.11337783187627792,99999.0,-1,16,182.89326477050776,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
40,643,7,418.6057434082031,-59.5539665222168,21.425121307373047,-0.012776299379765987,1.9205474853515625,-0.00023982487618923187,99999.0,-1,16,340.0517654418945,0,3,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
41,643,8,429.5089111328125,-56.06455612182617,32.34770584106445,-0.02027236856520176,2.028961181640625,-0.002991035580635071,99999.0,-2,16,352.03570938110346,0,3,-1.1382500000000002,-1.1382500000000002,0,-1.1382500000000002
42,643,9,557.4215087890625,-52.68215560913086,30.453298568725586,0.16709472239017487,1.5681266784667969,0.2643713355064392,99999.0,-3,13,34.74896240234377,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
43,643,10,162.22328186035156,-59.39427947998047,32.24845504760742,-0.027643706649541855,0.872802734375,-0.012151151895523071,7.949667039516882,-1,16,84.74661254882815,0,1,-0.6595183404647681,-0.6595183404647681,0,-0.6594967441688664
44,643,11,393.41827392578125,-59.53839111328125,32.2073974609375,-0.019579695537686348,0.8334732055664062,-0.000468473881483078,2.333842263189551,-1,16,315.93625068664545,0,1,0.013389892086203942,0.013389892086203942,0,0.013658627839306754
45,643,12,249.89773559570312,-53.66785430908203,16.244857788085938,2.0690107345581055,2.9747486114501953,-2.944049835205078,99999.0,-3,16,170.82591247558588,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.7707500000000005
46,643,13,394.67510986328125,-49.075199127197266,32.5562744140625,-0.005381297320127487,1.246795654296875,0.06676599383354187,99999.0,-4,16,317.2243862152099,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
47,643,14,226.84844970703125,-48.9395637512207,26.330575942993164,-0.016380079090595245,2.6805686950683594,-0.004528313875198364,99999.0,-4,16,148.78255844116205,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
48,644,15,324.07879638671875,-54.84354019165039,24.691991806030273,-2.3306424617767334,2.144317626953125,3.548271656036377,99999.0,-2,16,245.84877395629877,5,3,,0.0,0,0.0
49,644,0,166.96731567382812,-55.899139404296875,32.13478469848633,-0.027877820655703545,0.8771133422851562,0.0025664828717708588,99999.0,-2,16,89.47930908203128,0,1,-0.6707500000000005,-0.6707500000000005,0,-0.6707500000000005
50,644,1,187.88693237304688,-52.58806610107422,25.85633087158203,-1.1832491159439087,-7.446651458740234,-4.085835933685303,6.813402551954885,-3,16,109.74641513824457,0,3,0.17665290612564538,0.17665290612564538,0,-0.18004151554531317
